"anuncio";"sku";"produto";"fornecedor";"status";"preco_anterior";"preco_verificado";"margem_verificada";"alvo";"pendencia"
"MLB7111642212";"VTK012576";"Climatizador De Ar 60l Duplo 300w 127v Clin 60 Pro Ventisol";"BKR1";"ALVO_VALIDADO";"2252.32";"2512.65";"0.15000099496547467";"0.15";""
"MLB7111642130";"VTK012757";"Toca Discos Bluetooth Atlp60xbt Preto Audiotechnica";"BKR1";"ALVO_VALIDADO";"2599";"3007.17";"0.1500014964235477";"0.15";""
"MLB7111548480";"VTK001202";"Panela Elétrica de Arroz Agratto PA6X Riso 400W 127v";"BKR1";"ALVO_VALIDADO";"189";"195.51";"0.07002199375990997";"0.07";""
"MLB7111548372";"VTK001354";"Fogão Elétrico De Mesa Agratto FMP-01 2 Pratos Preto 127v";"BKR1";"ALVO_VALIDADO";"187.38";"189.99";"0.07000368440444234";"0.07";""
"MLB7111547894";"VTK002203";"Fone de Ouvido AKG K52 Profissional Preto";"EVOLUSOM-PR";"ALVO_VALIDADO";"406.28";"432.15";"0.10001157005669328";"0.1";""
"MLB4857882581";"VTK003230";"Secador de Cabelo Agratto Della SC01 1900W Preto 127v";"BKR1";"ALVO_VALIDADO";"165.96";"165.96";"0.07381296697999518";"0.07";""
"MLB4857662833";"VTK003197";"Mini Teclado Yamaha PSS-F30 Preto";"VANRAL";"ALVO_VALIDADO";"645.81";"650.84";"0.10000921885563271";"0.1";""
"MLB4857662781";"VTK003567";"Estante Para Piano Digital L-300 Yamaha Preta";"VANRAL";"ALVO_VALIDADO";"1047.34";"1168.2";"0.15";"0.15";""
"MLB4857662681";"VTK002666";"Estante Para Piano Digital L515B Yamaha Preta";"VANRAL";"ALVO_VALIDADO";"1293";"1568.08";"0.1500051017805214";"0.15";""
"MLB4857662657";"VTK003168";"Venova Alto Yamaha YVS-120 Branca";"VANRAL";"ALVO_VALIDADO";"1690";"1914.31";"0.15000182833501366";"0.15";""
"MLB4857644799";"VTK006284";"Drumpad Portátil Yamaha FGDP-50";"VANRAL";"ALVO_VALIDADO";"2690";"3017.59";"0.15000049708542246";"0.15";""
"MLB4857643697";"VTK002784";"Estante Para Teclado L121B Yamaha Preta";"VANRAL";"ALVO_VALIDADO";"1016.27";"1126.37";"0.15000399513481363";"0.15";""
"MLB4857643649";"VTK004036";"Teclado Yamaha PSR-F52 Arranjador Preto";"VANRAL";"ALVO_VALIDADO";"997";"1173.36";"0.15000511352014728";"0.15";""
"MLB4857643633";"VTK001547";"Violão Yamaha CX40II Eletroacústico Natural";"VANRAL";"ALVO_VALIDADO";"1403.72";"1544.5";"0.15000323729362253";"0.15";""
"MLB4857643483";"VTK001958";"Piano Yamaha P-45 Digital Preto";"VANRAL";"ALVO_VALIDADO";"2970";"3312.93";"0.15000015092380461";"0.15";""
"MLB4857635575";"VTK012651";"Calculadora Mesa Visor 12 Dig. - Verde Mv4126 Elgin";"BKR1";"ALVO_VALIDADO";"68.24";"68.24";"0.2413540445486518";"0.07";""
"MLB4857631279";"VTK002137";"Estante Para Piano L85 Yamaha Preta";"VANRAL";"ALVO_VALIDADO";"990";"1118.56";"0.15000536403947934";"0.15";""
"MLB4857631065";"VTK001806";"Contrabaixo Yamaha TRBX174 Passivo 4 Cordas Old Violin Sunburst";"VANRAL";"ALVO_VALIDADO";"2290";"2621.38";"0.1500011444353737";"0.15";""
"MLB4857622923";"VTK012535";"Conector Spk Femea Painel 4 P Wc 1604 Fp Bk Pbk Wireconex 04 Unidades";"BKR1";"ALVO_VALIDADO";"59.88";"59.89";"0.07012856904324595";"0.07";""
"MLB4857622897";"VTK012495";"Painel Rack 2u 8 Xlr Universal Wireconex";"BKR1";"ALVO_VALIDADO";"176.99";"176.99";"0.08017402113113735";"0.07";""
"MLB4857542345";"VTK012427";"Pandeiro Abs Branco 10"" Pele Leitosa Spanking";"BKR1";"ALVO_VALIDADO";"115";"117.66";"0.07003229644739078";"0.07";""
"MLB4857542315";"VTK012293";"Pandeiro Abs Preto 10"" Pele Leitosa - Batimento Spanking";"BKR1";"ALVO_VALIDADO";"109";"118.09";"0.07003133203488864";"0.07";""
"MLB4857542295";"VTK012799";"Calculadora Com Tela P. Anotação Branca Elgin";"BKR1";"ALVO_VALIDADO";"115";"117.21";"0.0700452179848136";"0.07";""
"MLB4857542233";"VTK012708";"Cabo Hdmi 1.4 Com Filtro 15m Storm";"BKR1";"ALVO_VALIDADO";"130.42";"130.42";"0.07000460052139244";"0.07";""
"MLB4857542181";"VTK012679";"Correia Vt Sl 01 Rustico Marrom Basso";"BKR1";"ALVO_VALIDADO";"126.42";"126.42";"0.0700047460844803";"0.07";""
"MLB4857542137";"VTK012324";"Capa Violao Folk Luxo - Nylon 600";"BKR1";"ALVO_VALIDADO";"144.21";"144.21";"0.09097843422786213";"0.07";""
"MLB4857542103";"VTK012191";"Cordas Para Violão Aço D Addario Phosphor Bronze Ej16 .012-.053";"BKR1";"ALVO_VALIDADO";"138.65";"138.65";"0.09772809231878832";"0.07";""
"MLB4857542091";"VTK005540";"Alto-falantes 5"" Leson LS5 140w (PAR)";"EVOLUSOM-PR";"ALVO_VALIDADO";"127.59";"127.6";"0.07006269592476488";"0.07";""
"MLB4857542039";"VTK012226";"Conector P2 Stereo 3,5mm Plt Wc 1323 Trs Wireconex 10 Unidades";"BKR1";"ALVO_VALIDADO";"142.88";"142.88";"0.09357502799552071";"0.07";""
"MLB4857542005";"VTK012053";"Cabo Para Instrumentos P10 P10 10 Metros Guiem-10 Wireconex";"BKR1";"ALVO_VALIDADO";"144.42";"144.42";"0.09216175045007617";"0.07";""
"MLB4857541977";"VTK012545";"Carregador Rayovac Usb 2aa Sm-4";"EVOLUSOM-PR";"ALVO_VALIDADO";"133.14";"133.14";"0.1035751840168244";"0.07";""
"MLB4857541933";"VTK012491";"Suporte Portátil P/violão Ssv1";"BKR1";"ALVO_VALIDADO";"131.83";"131.83";"0.07001441250094818";"0.07";""
"MLB4857541893";"VTK012697";"Tarraxa P/guitarra 3 Mais 3 Semi Blindada Cromada Dolphin";"BKR1";"ALVO_VALIDADO";"167";"174.78";"0.07003089598352215";"0.07";""
"MLB4857541847";"VTK012585";"Encordoamento Contrabaixo 040/0.95 - 4 Cordas N700 Nig";"BKR1";"ALVO_VALIDADO";"136";"147.14";"0.07000135924969418";"0.07";""
"MLB4857541829";"VTK005123";"Encordoamento Guitarra .011-.049 NYXL NYXL1149 D Addario";"BKR1";"ALVO_VALIDADO";"137";"149.24";"0.07002144197266147";"0.07";""
"MLB4857541793";"VTK012457";"Encordoamento Contrabaixo 045/.100 - 4 Cordas N740 Nig";"BKR1";"ALVO_VALIDADO";"150";"153.57";"0.07000065116884809";"0.07";""
"MLB4857541771";"VTK012179";"Painel Multicabo 08 Vias Xlr Medusa Wireconex";"BKR1";"ALVO_VALIDADO";"153";"167.06";"0.07003471806536574";"0.07";""
"MLB4857541759";"VTK005567";"Alto-falantes 6x9"" Leson JB69 Flex 110w (PAR)";"BKR1";"ALVO_VALIDADO";"160";"164.53";"0.07001762596486963";"0.07";""
"MLB4857541723";"VTK012488";"Painel Para Multicabos Sem Conectores 28 Vias Xlr Wireconex";"BKR1";"ALVO_VALIDADO";"277";"295.94";"0.10002027437994189";"0.1";""
"MLB4857541685";"VTK012006";"Cabo Para Microfone Emborrachado Xlr Xlr 10 Metros Mpbe-10 Wireconex";"BKR1";"ALVO_VALIDADO";"179.17";"180.39";"0.07001496757026443";"0.07";""
"MLB4857541679";"VTK002700";"Plug P10 Estéreo Metal com Mola Niquelado Genérico Storm - PCT / 50";"BKR1";"ALVO_VALIDADO";"179.48";"179.48";"0.0785602852685536";"0.07";""
"MLB4857541657";"VTK012536";"Painel 20 Xlr 2 Prensa Cabo Med2 20 2s Wireconex";"BKR1";"ALVO_VALIDADO";"181.96";"183.64";"0.07002831627096494";"0.07";""
"MLB4857541595";"VTK012660";"Conector Rca Fêmea Metal Gold Storm 10 Unidades";"BKR1";"ALVO_VALIDADO";"193.32";"193.32";"0.07066004552038072";"0.07";""
"MLB4857541543";"VTK012258";"Capa P/ Violão Folk Extra Bolso Cargo - Nylon 600 - Bege Bkr 1";"BKR1";"ALVO_VALIDADO";"187";"194.19";"0.07003450229157011";"0.07";""
"MLB4857541533";"VTK012225";"Direct Box Passivo Wdi 600 Wireconex";"BKR1";"ALVO_VALIDADO";"179";"187.3";"0.07004805125467164";"0.07";""
"MLB4857541521";"VTK012666";"Secador Dobrável Profissional 127v 1800w Agratto";"EVOLUSOM-PR";"ALVO_VALIDADO";"173.14";"173.14";"0.07000115513457318";"0.07";""
"MLB4857541435";"VTK004124";"Caixa de Som Para Ambiente Orion 4"" 70W Branca - PAR / 2";"BKR1";"ALVO_VALIDADO";"214.94";"232.97";"0.10001287719448856";"0.1";""
"MLB4857541371";"VTK012802";"Kit Arandela Coaxial 6p 70w 8r Redonda Br Leson";"BKR1";"ALVO_VALIDADO";"229.75";"250";"0.1";"0.1";""
"MLB4857541345";"VTK012664";"Liquidificador Turbo 15 Preto 3,2l 127v 1200w Agratto";"BKR1";"ALVO_VALIDADO";"237.91";"254.5";"0.09999999999999999";"0.1";""
"MLB4857541327";"VTK012554";"Alto-falante Profissional 150w 6 Pol 8 Ohms 6wf310b8 Atk";"BKR1";"ALVO_VALIDADO";"229.22";"246.73";"0.10002837109390833";"0.1";""
"MLB4857540903";"VTK012813";"Suporte Pedestal Tubo Duplo 30cm Versa Red Attack Tbl30vc";"BKR1";"ALVO_VALIDADO";"281.36";"305.96";"0.10001307360439274";"0.1";""
"MLB4857540897";"VTK012440";"Encordoamento 010""-046"" P/guitarra Regular Slink Niquel Ernie Ball Pct C/3 P03221";"BKR1";"ALVO_VALIDADO";"269.49";"300.55";"0.1000166361670271";"0.1";""
"MLB4857540853";"VTK012752";"Ventilador Coluna Turbo 40cm 10p 220v Preto Ventisol";"BKR1";"ALVO_VALIDADO";"327.5";"351.32";"0.10002277126266652";"0.1";""
"MLB4857540833";"VTK012623";"Ventilador Coluna Turbo 50cm 6p 127v Preto Ventisol";"BKR1";"ALVO_VALIDADO";"331.11";"361.06";"0.1000110784911095";"0.1";""
"MLB4857540761";"VTK012230";"Alto-falante 250w 15 Pol 8 Ohms Wf380500b8 Atk";"BKR1";"ALVO_VALIDADO";"330";"363.59";"0.10000275035066972";"0.1";""
"MLB4857540749";"VTK012629";"Cordas Para Baixo 5 Cordas D Addario Xl Exl220-5 .040-.125";"BKR1";"ALVO_VALIDADO";"335.78";"362.53";"0.10001930874686234";"0.1";""
"MLB4857540709";"VTK012825";"Multi Grill Mr Cheff Inox 127v 1500w Agratto";"BKR1";"ALVO_VALIDADO";"349.94";"415.03";"0.10001686625063248";"0.1";""
"MLB4857540675";"VTK012755";"Ventilador Coluna 60cm Oscilante 127v Premium Ventisol";"BKR1";"ALVO_VALIDADO";"448.41";"484.02";"0.1000165282426346";"0.1";""
"MLB4857540629";"VTK012807";"Painel Ac Nbr 20a 5 Metros Pac 520 Wireconex";"BKR1";"ALVO_VALIDADO";"443.55";"478.45";"0.10001045041279132";"0.1";""
"MLB4857540625";"VTK012641";"Cabo Balanceado Para Microfone Wc 224 100 Metros Wireconex";"BKR1";"ALVO_VALIDADO";"487.12";"524.83";"0.10001333765219214";"0.1";""
"MLB4857540613";"VTK012754";"Ventilador Coluna 50cm Steel Premium Oscilante Ventisol";"BKR1";"ALVO_VALIDADO";"510.45";"552.25";"0.10000905387052965";"0.1";""
"MLB4857540599";"VTK012188";"Filtro Linha 8 Tomadas Digital Wpd8d Wireconex";"BKR1";"ALVO_VALIDADO";"450";"499.06";"0.10000801506832845";"0.1";""
"MLB4857540575";"VTK012483";"Microfone Dinâmico Atr1500x Cardioide Audiotechnica";"BKR1";"ALVO_VALIDADO";"493";"561.27";"0.10000534502111284";"0.1";""
"MLB4857540537";"VTK012584";"Painel Multicabo 36 Vias Wireconex";"BKR1";"ALVO_VALIDADO";"581.29";"624.47";"0.10000480407385463";"0.1";""
"MLB4857540461";"VTK012552";"Caixa De Som R980t Preta Edifier";"BKR1";"ALVO_VALIDADO";"770";"806.72";"0.10000991669972234";"0.1";""
"MLB4857540439";"VTK012824";"Air Fryer Forno Digital 12l 127v 1800w Agratto";"BKR1";"ALVO_VALIDADO";"807";"883.99";"0.10000113123451623";"0.1";""
"MLB4857540431";"VTK012675";"Amplificador Para Guitarra 6 Pol 15w Vosstorm Gx-6";"BKR1";"ALVO_VALIDADO";"870";"919.89";"0.10000108708649946";"0.1";""
"MLB4857540421";"VTK012484";"Caixa De Som R1000t4 Madeira Edifier";"BKR1";"ALVO_VALIDADO";"1036.3";"1160.3";"0.15000430923037147";"0.15";""
"MLB4857540387";"VTK012603";"Violao Aco London Le30c Bk Strinberg";"BKR1";"ALVO_VALIDADO";"1170";"1359.95";"0.15000551490863634";"0.15";""
"MLB4857540317";"VTK012551";"Caixa De Som Mr4 Preta Edifier";"BKR1";"ALVO_VALIDADO";"1170";"1415.3";"0.15000353281989687";"0.15";""
"MLB4857539771";"VTK012635";"Mesa Som 8 Canais Analógica Usb Cmx08 Mark Audio";"BKR1";"ALVO_VALIDADO";"1317.81";"1455.13";"0.15000034361191095";"0.15";""
"MLB4857539695";"VTK005337";"Ventilador de Parede Ventisol GP VP1M2 1 Metro Preto 220v";"BKR1";"ALVO_VALIDADO";"1333";"1592.31";"0.15000219806444726";"0.15";""
"MLB4857539681";"VTK012567";"Violao Aço Sd200c Tos Folk Fosco Strinberg";"BKR1";"ALVO_VALIDADO";"1270";"1560.86";"0.1500006406724498";"0.15";""
"MLB4857539675";"VTK012364";"Calculadora Com Bobina 14 Digitos Mb-7142 Elgin";"BKR1";"ALVO_VALIDADO";"1290";"1535.3";"0.1500032566925031";"0.15";""
"MLB4857539659";"VTK012574";"Violao Aco Sd201hc Mgs Folk Fosco Strinberg";"BKR1";"ALVO_VALIDADO";"1591.64";"1844.32";"0.15000108441051443";"0.15";""
"MLB4857539619";"VTK005751";"Violão Strinberg SD201HCR Eletroacústico Folk Natural Satin Com Bag";"BKR1";"ALVO_VALIDADO";"1861.57";"1992.12";"0.15000100395558502";"0.15";""
"MLB4857539515";"VTK012677";"Amplificador Para Baixo 10 Pol 40w Vosstorm Bs-10";"BKR1";"ALVO_VALIDADO";"1960";"2269.93";"0.1500002202711097";"0.15";""
"MLB4857539501";"VTK012672";"Amplificador Potência 400w Rms Mk2400 Mark Audio";"BKR1";"ALVO_VALIDADO";"1990";"2321.09";"0.15000280040842878";"0.15";""
"MLB4857539485";"VTK012820";"Fone De Ouvido Athm50x Preto Audiotechnica";"BKR1";"ALVO_VALIDADO";"2140";"2495.79";"0.15000060101210438";"0.15";""
"MLB4857539465";"VTK012513";"Amplificador Potência 800w Rms Mk4800 Mark Audio";"BKR1";"ALVO_VALIDADO";"2599";"2852.98";"0.15000105153208224";"0.15";""
"MLB4857531013";"VTK002570";"Encordoamento Para Viola Brasileira Cebolão MI/Boiadeira EJ82C D Addario";"BKR1";"ALVO_VALIDADO";"175.82";"175.82";"0.17620293481970198";"0.07";""
"MLB4857530911";"VTK005803";"Mangueira Látex 13 Metros KM215CA Azul Kepper";"EVOLUSOM-PR";"ALVO_VALIDADO";"140.31";"140.31";"0.12536526263274178";"0.07";""
"MLB4857530901";"VTK002143";"Conector Speakon de Linha Macho 4 Pólos PGSP0004 Preto/Cinza Storm - PCT / 10";"BKR1";"ALVO_VALIDADO";"172.55";"172.55";"0.08310634598667052";"0.07";""
"MLB4857530863";"VTK001146";"Mangueira Poliéster 15 Metros KM315CLP Preta/Laranja Kepper";"EVOLUSOM-PR";"ALVO_VALIDADO";"281.33";"281.33";"0.21291721465894145";"0.1";""
"MLB4857530795";"VTK002161";"Suporte de Teto Para TV 19"" a 56"" SKY-30 Multivisão";"BKR1";"ALVO_VALIDADO";"238.93";"256.62";"0.1000311744992596";"0.1";""
"MLB4857498447";"VTK000751";"Mangueira Látex 18 Metros KM222CA Azul Kepper";"EVOLUSOM-PR";"ALVO_VALIDADO";"146.24";"146.24";"0.09402352297592997";"0.07";""
"MLB4857498113";"VTK000460";"Cabo Para Instrumentos P10 x P10° 6,10m Angel L TX Santo Angelo";"EVOLUSOM-PR";"ALVO_VALIDADO";"159.22";"159.22";"0.07517899761336516";"0.07";""
"MLB4857498057";"VTK002739";"Panela de Arroz Agratto PA6X 400W Inox 127v";"BKR1";"ALVO_VALIDADO";"235.13";"251.15";"0.1000199084212622";"0.1";""
"MLB4857486953";"VTK000161";"Arandela 6"" JBL 6FR2R 25W Redonda Branca - PAR / 2";"EVOLUSOM-PR";"ALVO_VALIDADO";"568.58";"595.1";"0.09999999999999999";"0.1";""
"MLB4857485781";"VTK000559";"Caixa de Som Frahm PS200 60w Preto (Par) - PAR / 2";"EVOLUSOM-PR";"ALVO_VALIDADO";"369.07";"393.06";"0.10001017656337455";"0.1";""
"MLB4857485771";"VTK004783";"Smart TV Box Proeletronic PROSB3000 16gb";"EVOLUSOM-PR";"ALVO_VALIDADO";"299.47";"317.34";"0.10001890716581585";"0.1";""
"MLB4857485767";"VTK001220";"Arandela 6"" Frahm 70w Quadrada Cx Branca";"EVOLUSOM-PR";"ALVO_VALIDADO";"276.8";"296.85";"0.10001684352366515";"0.1";""
"MLB4857485393";"VTK003962";"Panela Elétrica Agratto PAI10X Inox 127v";"BKR1";"ALVO_VALIDADO";"297.15";"320.69";"0.10000311827621691";"0.1";""
"MLB4857485057";"VTK001795";"Microfone Perception AKG 3S Preto";"EVOLUSOM-PR";"ALVO_VALIDADO";"321.94";"341.38";"0.10000585857402308";"0.1";""
"MLB7120040990";"VTK009710";"Guitarra Elétrica Ash Thomaz Teg 320 Preto";"VANRAL";"ALVO_VALIDADO";"1077";"1241.18";"0.15000241705473824";"0.15";""
"MLB7127532888";"VTK012552";"Caixa De Som R980t Preta Edifier";"BKR1";"ALVO_VALIDADO";"770";"806.72";"0.10000991669972234";"0.1";""
"MLB4866768089";"VTK000123";"Mesa de Som Analógica Yamaha MG10XU 10 Canais 110V Preta";"VANRAL";"ALVO_VALIDADO";"2690";"2978.58";"0.15000100719134624";"0.15";""
"MLB7137239362";"VTK000303";"Ventilador de Mesa Ventisol Turbo 6 50cm Preto 220v";"BKR1";"ALVO_VALIDADO";"311.38";"339.25";"0.1000147383935151";"0.1";""
"MLB7145416338";"VTK012797";"Cabo Guitar Textil Guitxc-05 05 Metros Wireconex";"BKR1";"ALVO_VALIDADO";"110";"111.64";"0.07004657828735221";"0.07";""
"MLB7145211796";"VTK012781";"Mesa Som 16 Canais Analógica Usb Cmx016 Mark Audio";"BKR1";"ALVO_VALIDADO";"1970";"2227.37";"0.1500020203199289";"0.15";""
"MLB7145207436";"VTK012035";"Bateria Cr2032 Botão Panasonic 10 Cartelas Com 05 Baterias Por Cartela";"BKR1";"ALVO_VALIDADO";"268.96";"268.96";"0.10001487209994052";"0.1";""
"MLB4877487029";"VTK012616";"Palheta Plasticover Ten Rrptsx300 Un";"BKR1";"ALVO_VALIDADO";"107";"113.06";"0.07005130019458694";"0.07";""
"MLB4877011977";"VTK012585";"Encordoamento Contrabaixo 040/0.95 - 4 Cordas N700 Nig";"BKR1";"ALVO_VALIDADO";"136";"147.14";"0.07000135924969418";"0.07";""
"MLB4857541611";"VTK012631";"Encordoamento Contrabaixo 045/.130 - 5 Cordas N750 Nig";"BKR1";"ALVO_VALIDADO";"177";"177";"0.07870056497175142";"0.07";""
"MLB4857541859";"VTK012570";"Tarraxa P/guitarra Lp Sg 3 Mais 3 Blindada Cromada Dolphin";"BKR1";"ALVO_VALIDADO";"149";"155.52";"0.07002314814814815";"0.07";""
"MLB7150416726";"VTK012631";"Encordoamento Contrabaixo 045/.130 - 5 Cordas N750 Nig";"BKR1";"ALVO_VALIDADO";"177";"177";"0.07870056497175142";"0.07";""
"MLB7150323360";"VTK003874";"Cabo XLR Macho x XLR Fêmea 6,10m Ninja LW B Santo Angelo";"EVOLUSOM-PR";"ALVO_VALIDADO";"137.66";"137.66";"0.11245096614848177";"0.07";""
"MLB7149406196";"VTK003962";"Panela Elétrica Agratto PAI10X Inox 127v";"BKR1";"ALVO_VALIDADO";"297.15";"320.69";"0.10000311827621691";"0.1";""
"MLB7149405744";"VTK000460";"Cabo Para Instrumentos P10 x P10° 6,10m Angel L TX Santo Angelo";"EVOLUSOM-PR";"ALVO_VALIDADO";"159.22";"159.22";"0.07517899761336516";"0.07";""
"MLB7149405662";"VTK002161";"Suporte de Teto Para TV 19"" a 56"" SKY-30 Multivisão";"BKR1";"ALVO_VALIDADO";"238.93";"256.62";"0.1000311744992596";"0.1";""
"MLB7149405578";"VTK012567";"Violao Aço Sd200c Tos Folk Fosco Strinberg";"BKR1";"ALVO_VALIDADO";"1270";"1560.86";"0.1500006406724498";"0.15";""
"MLB7149405566";"VTK005337";"Ventilador de Parede Ventisol GP VP1M2 1 Metro Preto 220v";"BKR1";"ALVO_VALIDADO";"1333";"1592.31";"0.15000219806444726";"0.15";""
"MLB7149405486";"VTK012483";"Microfone Dinâmico Atr1500x Cardioide Audiotechnica";"BKR1";"ALVO_VALIDADO";"493";"561.27";"0.10000534502111284";"0.1";""
"MLB7149405472";"VTK012188";"Filtro Linha 8 Tomadas Digital Wpd8d Wireconex";"BKR1";"ALVO_VALIDADO";"450";"499.06";"0.10000801506832845";"0.1";""
"MLB7149405422";"VTK012230";"Alto-falante 250w 15 Pol 8 Ohms Wf380500b8 Atk";"BKR1";"ALVO_VALIDADO";"330";"363.59";"0.10000275035066972";"0.1";""
"MLB7149405318";"VTK005123";"Encordoamento Guitarra .011-.049 NYXL NYXL1149 D Addario";"BKR1";"ALVO_VALIDADO";"137";"149.24";"0.07002144197266147";"0.07";""
"MLB7149405296";"VTK012491";"Suporte Portátil P/violão Ssv1";"BKR1";"ALVO_VALIDADO";"131.83";"131.83";"0.07001441250094818";"0.07";""
"MLB7149405220";"VTK012427";"Pandeiro Abs Branco 10"" Pele Leitosa Spanking";"BKR1";"ALVO_VALIDADO";"115";"117.66";"0.07003229644739078";"0.07";""
"MLB7149375942";"VTK001795";"Microfone Perception AKG 3S Preto";"EVOLUSOM-PR";"ALVO_VALIDADO";"321.94";"341.38";"0.10000585857402308";"0.1";""
"MLB7149375624";"VTK000559";"Caixa de Som Frahm PS200 60w Preto (Par) - PAR / 2";"EVOLUSOM-PR";"ALVO_VALIDADO";"369.07";"393.06";"0.10001017656337455";"0.1";""
"MLB7149375288";"VTK002739";"Panela de Arroz Agratto PA6X 400W Inox 127v";"BKR1";"ALVO_VALIDADO";"235.13";"251.15";"0.1000199084212622";"0.1";""
"MLB7149375074";"VTK002570";"Encordoamento Para Viola Brasileira Cebolão MI/Boiadeira EJ82C D Addario";"BKR1";"ALVO_VALIDADO";"175.82";"175.82";"0.17620293481970198";"0.07";""
"MLB7149375060";"VTK005751";"Violão Strinberg SD201HCR Eletroacústico Folk Natural Satin Com Bag";"BKR1";"ALVO_VALIDADO";"1861.57";"1992.12";"0.15000100395558502";"0.15";""
"MLB7149374986";"VTK012675";"Amplificador Para Guitarra 6 Pol 15w Vosstorm Gx-6";"BKR1";"ALVO_VALIDADO";"870";"919.89";"0.10000108708649946";"0.1";""
"MLB7149374888";"VTK012629";"Cordas Para Baixo 5 Cordas D Addario Xl Exl220-5 .040-.125";"BKR1";"ALVO_VALIDADO";"335.78";"362.53";"0.10001930874686234";"0.1";""
"MLB7149374830";"VTK012225";"Direct Box Passivo Wdi 600 Wireconex";"BKR1";"ALVO_VALIDADO";"179";"187.3";"0.07004805125467164";"0.07";""
"MLB7149374810";"VTK012488";"Painel Para Multicabos Sem Conectores 28 Vias Xlr Wireconex";"BKR1";"ALVO_VALIDADO";"277";"295.94";"0.10002027437994189";"0.1";""
"MLB7149374780";"VTK012179";"Painel Multicabo 08 Vias Xlr Medusa Wireconex";"BKR1";"ALVO_VALIDADO";"153";"167.06";"0.07003471806536574";"0.07";""
"MLB7149374706";"VTK012191";"Cordas Para Violão Aço D Addario Phosphor Bronze Ej16 .012-.053";"BKR1";"ALVO_VALIDADO";"138.65";"138.65";"0.09772809231878832";"0.07";""
"MLB7149374692";"VTK012679";"Correia Vt Sl 01 Rustico Marrom Basso";"BKR1";"ALVO_VALIDADO";"126.42";"126.42";"0.0700047460844803";"0.07";""
"MLB7149374674";"VTK012799";"Calculadora Com Tela P. Anotação Branca Elgin";"BKR1";"ALVO_VALIDADO";"115";"117.21";"0.0700452179848136";"0.07";""
"MLB7149370284";"VTK003168";"Venova Alto Yamaha YVS-120 Branca";"VANRAL";"ALVO_VALIDADO";"1690";"1914.31";"0.15000182833501366";"0.15";""
"MLB7149370270";"VTK002666";"Estante Para Piano Digital L515B Yamaha Preta";"VANRAL";"ALVO_VALIDADO";"1293";"1568.08";"0.1500051017805214";"0.15";""
"MLB7149368866";"VTK012695";"Violao Aço London Le30c Ns Fosco Strinberg";"BKR1";"ALVO_VALIDADO";"1217.42";"1359.95";"0.15000551490863634";"0.15";""
"MLB7149368708";"VTK012794";"Cabo Para Instrumentos Wc 124 100 Metros Wireconex";"BKR1";"ALVO_VALIDADO";"719.18";"741.08";"0.1000026987639661";"0.1";""
"MLB7149368648";"VTK012667";"Suporte Triarticulado 02 Monitores 17"" A 32"" Multivisão";"BKR1";"ALVO_VALIDADO";"472.15";"511.55";"0.10000977421561918";"0.1";""
"MLB7149368602";"VTK012793";"Encordoamento 045-130 P/ Baixo 5 Cordas Regular Slinky Niquel P02836 Ernie Ball (12891)";"BKR1";"ALVO_VALIDADO";"360";"397.82";"0.10002010959730531";"0.1";""
"MLB7149368460";"VTK012490";"Alto-falante Profissional 250w 10 Pol 8 Ohms 10wf510b8 Atk";"BKR1";"ALVO_VALIDADO";"283";"319.49";"0.10000312998841904";"0.1";""
"MLB7149368280";"VTK003036";"Encordoamento Guitarra Revestido .010-.046 XT Nickel XTE1046 D Addario";"BKR1";"ALVO_VALIDADO";"154";"159.75";"0.07004694835680751";"0.07";""
"MLB7149368238";"VTK004398";"Captador Clip de contato Passivo CCP-25 Preto Custom Sound";"BKR1";"ALVO_VALIDADO";"138";"146.19";"0.0700458307681784";"0.07";""
"MLB7149368196";"VTK012681";"Correia Dg 04 Preto Basso";"BKR1";"ALVO_VALIDADO";"160.88";"160.88";"0.0971531576330184";"0.07";""
"MLB7149368086";"VTK012458";"Encordoamento P/violão Aço Earthwood Leve Phosphor Bronze Ernie Ball 011""-052"" P02148";"BKR1";"ALVO_VALIDADO";"127";"133.77";"0.07004560065784554";"0.07";""
"MLB7149367956";"VTK012387";"Pandeiro Abs Preto 10"" Pele Leitosa Spanking";"BKR1";"ALVO_VALIDADO";"115.13";"117.66";"0.07003229644739078";"0.07";""
"MLB7149366208";"VTK012634";"Alto-falante 600w 12 Pol 4 Ohms Wf3001200b4 Atk";"BKR1";"ALVO_VALIDADO";"599";"659.57";"0.10000454841790862";"0.1";""
"MLB7149338566";"VTK002137";"Estante Para Piano L85 Yamaha Preta";"VANRAL";"ALVO_VALIDADO";"990";"1118.56";"0.15000536403947934";"0.15";""
"MLB7149337100";"VTK002784";"Estante Para Teclado L121B Yamaha Preta";"VANRAL";"ALVO_VALIDADO";"1016.27";"1126.37";"0.15000399513481363";"0.15";""
"MLB7149337058";"VTK006284";"Drumpad Portátil Yamaha FGDP-50";"VANRAL";"ALVO_VALIDADO";"2690";"3017.59";"0.15000049708542246";"0.15";""
"MLB7149334848";"VTK001202";"Panela Elétrica de Arroz Agratto PA6X Riso 400W 127v";"BKR1";"ALVO_VALIDADO";"189";"195.51";"0.07002199375990997";"0.07";""
