ordem,sku,produto,fornecedor,oferta_id,custo,estoque,identidade,conflito,vinculo,economia_competitiva,preco_alvo_vivo,margem_alvo_viva,piso,demanda,contribuicao_competitiva,fila,gate_publicacao,motivos,avisos,garantia_prazo_comprovado,publicado,ml_item_id,preco_publicado,margem_publicada
40,VTK017308,Kit Cooler Fan Evus Fk-12r Rgb,EVOLUSOM-PR,6aa7ac8f-57e5-47d3-b0e6-b7601ae4fbe6,89.9,50,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,38.31,PENDENCIAS_IDENTIDADE,PENDENTE,COMPOSICAO_KIT_NAO_COMPROVADA,CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
41,VTK017291,Bandeja P/ Rack Evus Ev-ftw60 600mm Preto Ventilada,EVOLUSOM-PR,2245de45-2b90-4247-a656-4bbf82e97bae,52.9,50,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,35.68,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
42,VTK018523,"Alto Falante Bravox Coaxial Cx50bk 5"" 60 W Rms 4r Par",EVOLUSOM-PR,d5bcb01c-5809-4fe0-b981-8a6cdc0ba14e,179.9,7,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,35.51,PENDENCIAS_IDENTIDADE,PENDENTE,ESCOPO_POTENCIA_RMS_NAO_COMPROVADO,CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
43,VTK018716,Cabo De Guitarra Sparflex Nitro 100 Plug Noiseless 5 Metros Preto,EVOLUSOM-PR,b3670941-cb0d-4a5d-8e5e-0c7fe9843daa,134.9,5,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,32.27,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
44,VTK005172,Ponta De Prova Minipa Mtl-24a Garra Jacaré,EVOLUSOM-PR,bb448413-8e23-4e33-ba7c-26250633e08e,66.4,16,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,REATIVACAO_CANDIDATA,VIAVEL_NO_ALVO,111.89,0.07006881758870319,0.05,SINAL_INDIRETO,28.12,REATIVACOES,PENDENTE,REATIVACAO_CANDIDATA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
45,VTK017765,Câmera Fbr Varifocal 720p Ir Até 40 Metros 2.8 - 12mm Ip66,EVOLUSOM-PR,349d6d05-7815-4ee0-bc63-b25d353c7dc9,134.45,27,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,27.04,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
46,VTK018194,"Prolongador Daneva Pp Amarelo 15 Metros 1,00 Mm Ref.1529",EVOLUSOM-PR,b64aa443-cfdc-4264-95d9-5666981cc9ae,99.5,7,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,26.97,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
47,VTK003338,Patch Cord Furukawa Cat.6 Cmx 20 Metros Azul,EVOLUSOM-PR,c06166ad-8cde-42bf-aae5-0e1189eb4555,139.9,13,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,26.3,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
48,VTK018617,Kit Cabo Celular Aquario Ca-215 Rgc-58 Rolo Com 15 Metros,EVOLUSOM-PR,a13e6343-1181-4dd7-a488-f6bba1fe9b25,94.95,6,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,22.27,PENDENCIAS_IDENTIDADE,PENDENTE,COMPOSICAO_KIT_NAO_COMPROVADA,CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
49,VTK004080,Cabo Nwt Para Monitor Vga Hd15m X Hd15m 20m Preto Com Filtro,EVOLUSOM-PR,24c7499a-ee1f-4c2c-958f-4bfa68857ad3,69.9,4,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,21.28,PENDENCIAS_IDENTIDADE,PENDENTE,EQUIVALENCIA_MARCA_NAO_COMPROVADA | EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
50,VTK018810,Fonte Chaveada Colmeia Mxt 12v 20a,EVOLUSOM-PR,096fb84c-342b-48e8-bb3c-9659eb752295,92.3,20,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SINAL_INDIRETO,17.13,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
51,VTK017722,Lanterna Cabeça Western 12 Leds,EVOLUSOM-PR,34a5899a-a17e-498d-97e4-f844749bbb3b,14.4,24,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,16.98,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
52,VTK002644,Cabo Rca Profissional Nwt Dupla Blindagem Vermelho 5m,EVOLUSOM-PR,b29fb6f0-116d-4c4d-a4f0-30d06ac19142,38.9,41,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,16.63,PENDENCIAS_IDENTIDADE,PENDENTE,EQUIVALENCIA_MARCA_NAO_COMPROVADA | EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
53,VTK005761,"Cabo Hdmi Nwt Cbhm0028 8k Macho X Macho 2.1 1,5m",EVOLUSOM-PR,1ec35bec-6b66-4708-b5c1-0996d998ac4b,21.8,25,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,11.61,PENDENCIAS_IDENTIDADE,PENDENTE,COR_DO_MODELO_NAO_COMPROVADA | EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
54,VTK017919,Centralina Soft Tr-20 Para Trava Elétrica,EVOLUSOM-PR,13c9688a-34f3-4ff6-bbfe-8a59a6d24961,25.9,4,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,8.9,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
55,VTK017330,"Cabo Vga Evus C-043 Hd15 Macho X Hd15 Macho Com Filtro 15,0m",EVOLUSOM-PR,0a8966f9-7179-4f44-8771-08494151b107,45.9,50,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,7.87,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
56,VTK002372,Chave Seletora Hdmi 3 Entradas 1 Saida Sem Controle Remoto,EVOLUSOM-PR,376dc776-17aa-4717-b84b-679f12f7c647,34.5,14,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,7.64,PENDENCIAS_IDENTIDADE,PENDENTE,EQUIVALENCIA_MARCA_NAO_COMPROVADA | EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
57,VTK017682,Relê Automotivo Soft Eletrônico Re-10 Liga / Desliga Som,EVOLUSOM-PR,7dcb1f95-93cb-4646-8992-0dc6c5c4692c,28.9,32,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,6.2,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
58,VTK017804,Cordão Prolongador Daneva 3 Metros Ref.1312,EVOLUSOM-PR,9740de3d-5de5-4603-830f-8ad2a7b97c89,21.5,24,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,6.14,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
59,VTK017541,Esguicho Kepper Em Alumínio 30cm Verde,EVOLUSOM-PR,c97b898d-36d4-4869-b659-6b20f470764e,29.9,49,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,5.2,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
60,VTK020755,Cabo Conversor Hdmi Para Vga + Cabo De áudio P2 Mxt 1.2.105 Macho X Fêmea Preto,EVOLUSOM-PR,8a2e60d9-a656-4413-9327-9cdcac210d3e,28.5,50,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,4.23,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
61,VTK006339,"Microventilador Cooler Nwt Mvdc0004a 12vdc 0,28a 120 X 120 X 25mm",EVOLUSOM-PR,a26985d8-2b85-454b-9c59-ac33bc06de90,15.9,46,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,3.76,PENDENCIAS_IDENTIDADE,PENDENTE,EQUIVALENCIA_MARCA_NAO_COMPROVADA | EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
62,VTK017938,Cooler Para Cpu Argb Gamemax Gamma 500 Rmt1687h,EVOLUSOM-PR,a644bf2f-8424-4f88-9e72-a39fb2e244bf,199.9,18,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_ACIMA_DO_PISO,,,,SEM_EVIDENCIA_DE_DEMANDA,29.87,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
63,VTK012632,Painel Multicabo 36 Vias Xlr Sem Conectores Wireconex,BKR1,49f14626-bdd3-4455-8508-d4cb052a21df,156.7,3,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_ACIMA_DO_PISO,,,,SEM_EVIDENCIA_DE_DEMANDA,20.13,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
64,VTK018861,"Cabo De Dados Para Telefone Celuar Rural Aquário Ca-01 Compatível Com Os Modelos Ca-40, Ca-42 E  Ca-403g",EVOLUSOM-PR,83fbbc58-e8b9-495e-9477-f8b0c06c8371,27.6,4,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_ACIMA_DO_PISO,,,,SEM_EVIDENCIA_DE_DEMANDA,3.81,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
65,VTK018042,Calculadora De Mesa Procalc Pc108-pk 12 Dígitos Rosa,EVOLUSOM-PR,32d1b7d3-444a-4027-9290-34d7bd5dbf1a,21.6,10,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_ACIMA_DO_PISO,,,,SEM_EVIDENCIA_DE_DEMANDA,3.12,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
